full_name,gender,age,national_id,county,sub_county,constituency,ward,polling_station,registration_year,occupation,voter_status
Odhiambo Atieno,Male,38,48962717,Machakos,Mavoko,Mavoko,Athi River,Athi River Primary School,2022,Farmer,Active
Koech Atieno,Male,24,27815146,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2027,Nurse,Under Review
Maina Gitahi,Male,33,12567397,Nairobi,Westlands,Westlands,Westlands,Westlands Primary School,2017,Nurse,Active
Muriithi Ngugi,Male,38,17274771,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2022,Police Officer,Active
Mwangi Muriithi,Male,80,39163080,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Market Milimani Primary School,2017,Self-employed,Active
Jepchirchir Koech,Female,63,33198669,Nairobi,Dagoretti North,Dagoretti North,Gitaru,Gitaru Primary School,2022,Driver,Active
Jepchirchir Njenga,Female,41,31050528,Eldoret,Turbo,Turbo,Ngenyilel,Ngenyilel Primary School,2022,Engineer,Active
Kemunto Mutua,Female,51,39285897,Kisumu,Kisumu East,Kisumu East,Manyatta B,Manyatta B Primary School,2022,Accountant,Active
Moraa Mwangi,Female,26,44321020,Meru,Imenti North,Imenti North,Ntima West,Ntima West Primary School,2022,Self-employed,Active
Kinyanjui Ngugi,Male,59,17760857,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2013,Self-employed,Active
Mutua Ochieng,Male,80,35850027,Nairobi,Westlands,Westlands,Kangemi,Kangemi Primary School,2017,Farmer,Active
Chepkoech Salim,Female,27,48694168,Nairobi,Embakasi East,Embakasi East,Mihango,Mihango Primary School,2013,Shopkeeper,Active
Adhiambo Adhiambo,Female,71,22755970,Nairobi,Embakasi East,Embakasi East,Embakasi,Embakasi Primary School,2027,Mechanic,Active
Fatuma Mutua,Female,84,27094138,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2013,Clerk,Active
Bosibori Koech,Female,71,12978729,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2022,Mechanic,Active
Rotich Moraa,Female,69,39263324,Mombasa,Mvita,Mvita,Tudor,Tudor Primary School,2022,Police Officer,Active
Zuhura Gitahi,Female,73,10113499,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2027,Engineer,Active
Rashid Salim,Male,68,44891263,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2013,Farmer,Under Review
Mutua Mwenda,Male,45,46134901,Nairobi,Embakasi East,Embakasi East,Mihango,Mihango Primary School,2027,Farmer,Active
Wairimu Kimani,Female,37,23222803,Nairobi,Embakasi East,Embakasi East,Upper Savanna,Upper Savanna Primary School,2013,Engineer,Active
Ngugi Salim,Male,69,34442489,Kiambu,Thika Town,Thika Town,Ngoliba,Ngoliba Primary School,2022,Nurse,Active
Jelimo Ochieng,Female,56,38943878,Eldoret,Turbo,Turbo,Ngenyilel,Ngenyilel Primary School,2013,Mechanic,Active
Mwangi Thuo,Male,33,14695862,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2027,Nurse,Active
Rashid Kariuki,Male,37,32159349,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2017,Clerk,Active
Hamisi Bosibori,Male,55,31066522,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2022,Trader,Active
Muriithi Kariuki,Male,69,18363463,Machakos,Mavoko,Mavoko,Syokimau,Syokimau Primary School,2022,Mechanic,Active
Muriithi Koech,Male,43,30154286,Eldoret,Kapseret,Kapseret,Langas,Langas Primary School,2022,Clerk,Active
Njoroge Barasa,Male,29,44032415,Machakos,Mavoko,Mavoko,Muthwani,Muthwani Primary School,2013,Student,Active
Bosibori Gitahi,Female,39,30755742,Meru,Imenti North,Imenti North,Ntima West,Ntima West Primary School,2027,Casual Worker,Active
Wairimu Bosibori,Female,65,37406784,Nairobi,Westlands,Westlands,Mountain View,Mountain View Primary School,2017,Clerk,Active
Mwangi Omar,Male,61,31889764,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2022,Teacher,Active
Akinyi Thuo,Female,84,37004632,Nakuru,Nakuru Town East,Nakuru Town East,Kivumbini,Kivumbini Primary School,2022,Self-employed,Active
Kipchoge Gacheru,Male,25,29841084,Nairobi,Embakasi East,Embakasi East,Mihango,Mihango Primary School,2017,Mechanic,Active
Zawadi Adhiambo,Female,52,47205991,Nairobi,Westlands,Westlands,Parklands,Parklands Primary School,2022,Shopkeeper,Active
Kipchoge Njenga,Male,83,18542139,Machakos,Machakos Town,Machakos Town,Milimani,Milimani Primary School,2027,Teacher,Active
Adhiambo Ochieng,Female,20,22874170,Nakuru,Rongai,Rongai,Solai,Solai Primary School,2013,Shopkeeper,Active
Chepkoech Ruto,Female,63,38215675,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2017,Driver,Active
Zawadi Salim,Female,53,35444008,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2017,Engineer,Active
Omondi Gacheru,Male,37,21678777,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2022,Driver,Active
Jepchirchir Waweru,Female,43,48192007,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2027,Driver,Active
Maina Ngugi,Male,33,30196404,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2017,Tailor,Active
Hassan Kiptoo,Male,53,37251243,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2017,Nurse,Active
Kipchoge Barasa,Male,21,46771443,Nakuru,Nakuru Town East,Nakuru Town East,Kivumbini,Kivumbini Primary School,2017,Clerk,Active
Gacheru Atieno,Male,80,10027242,Meru,Imenti North,Imenti North,Nyaki West,Nyaki West Primary School,2022,Trader,Active
Mwenda Otieno,Male,43,30392702,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2022,Teacher,Active
Chepkoech Gitahi,Female,69,29254453,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2022,Casual Worker,Active
Halima Ruto,Female,75,24105121,Nairobi,Dagoretti North,Dagoretti North,Riruta,Riruta Primary School,2022,Shopkeeper,Active
Hamisi Odhiambo,Male,55,38849305,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2022,Shopkeeper,Active
Rotich Auma,Female,24,48922119,Machakos,Mavoko,Mavoko,Muthwani,Muthwani Primary School,2022,Shopkeeper,Active
Adhiambo Jelimo,Female,35,31625779,Mombasa,Mvita,Mvita,Ganjoni,Ganjoni Primary School,2017,Engineer,Active
Thuo Koech,Male,59,41204829,Eldoret,Turbo,Turbo,Lemook,Lemook Primary School,2022,Shopkeeper,Active
Waweru Njoroge,Male,28,39647757,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2022,Student,Active
Rashid Gacheru,Male,37,39672841,Nairobi,Westlands,Westlands,Westlands,Westlands Primary School,2017,Trader,Active
Mwenda Mwenda,Male,41,24341258,Kiambu,Ruiru,Ruiru,Gatongora,Gatongora Primary School,2013,Trader,Inactive
Koech Otieno,Male,18,44304306,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2022,Accountant,Active
Rotich Kiptoo,Female,18,41754987,Eldoret,Turbo,Turbo,Ngenyilel,Ngenyilel Primary School,2017,Self-employed,Active
Mwangi Ochieng,Male,22,21387796,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2013,Farmer,Active
Amina Njoroge,Female,40,15690532,Nairobi,Westlands,Westlands,Parklands,Parklands Primary School,2017,Driver,Active
Thuo Kinyanjui,Male,59,29044583,Nairobi,Westlands,Westlands,Westlands,Westlands Primary School,2017,Student,Active
Atieno Njenga,Female,53,44591398,Eldoret,Turbo,Turbo,Turbo,Turbo Primary School,2017,Student,Active
Mwangi Kimani,Male,54,32494103,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2022,Tailor,Active
Njeri Akinyi,Female,47,16267108,Eldoret,Kapseret,Kapseret,Megun,Megun Primary School,2022,Nurse,Active
Thuo Omondi,Male,23,25761764,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2017,Self-employed,Active
Kamau Koech,Male,57,30831897,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2017,Self-employed,Active
Waweru Thuo,Male,21,25075379,Meru,Igembe South,Igembe South,Athiru Rujiine,Athiru Rujiine Primary School,2027,Nurse,Active
Jelimo Atieno,Female,79,23363383,Nairobi,Dagoretti North,Dagoretti North,Uthiru,Uthiru Primary School,2017,Accountant,Active
Rotich Kiptoo,Female,58,19888757,Nairobi,Dagoretti North,Dagoretti North,Ruthimitu,Ruthimitu Primary School,2022,Farmer,Active
Zuhura Mutua,Female,61,11639160,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2027,Police Officer,Active
Rashid Ochieng,Male,22,13101350,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2017,Teacher,Active
Salim Bosibori,Male,56,26431104,Kiambu,Thika Town,Thika Town,Ngoliba,Ngoliba Primary School,2017,Engineer,Active
Omondi Bosibori,Male,37,41885860,Nairobi,Embakasi East,Embakasi East,Embakasi,Embakasi Primary School,2017,Shopkeeper,Active
Halima Ngugi,Female,22,14887419,Mombasa,Mvita,Mvita,Tudor,Tudor Primary School,2022,Clerk,Active
Kamau Mwenda,Male,29,40562461,Nairobi,Dagoretti North,Dagoretti North,Kabiro,Kabiro Primary School,2017,Shopkeeper,Active
Akinyi Mwenda,Female,42,37812665,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2017,Self-employed,Active
Wambui Barasa,Female,32,48632620,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2013,Casual Worker,Active
Odhiambo Muriithi,Male,54,23048327,Meru,Igembe South,Igembe South,Nyambene Hills,Nyambene Hills Primary School,2022,Trader,Active
Jepchirchir Kariuki,Female,24,35768358,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2013,Farmer,Active
Moraa Bosibori,Female,43,43177090,Meru,Igembe South,Igembe South,Athiru Gaiti,Athiru Gaiti Primary School,2022,Police Officer,Active
Thuo Waweru,Male,76,36820249,Mombasa,Likoni,Likoni,Mtongwe,Mtongwe Primary School,2017,Police Officer,Active
Jelimo Hassan,Female,51,26373518,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2027,Student,Active
Halima Adhiambo,Female,78,19903345,Eldoret,Turbo,Turbo,Turbo,Turbo Primary School,2013,Accountant,Active
Kipkoech Muriithi,Male,31,10372106,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2017,Police Officer,Active
Rotich Ruto,Female,49,17152952,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2022,Accountant,Active
Kwamboka Moraa,Female,48,38531078,Machakos,Mavoko,Mavoko,Muthwani,Muthwani Primary School,2017,Police Officer,Active
Wambui Adhiambo,Female,40,24686180,Meru,Imenti North,Imenti North,Nyaki West,Nyaki West Primary School,2017,Student,Active
Rashid Gitahi,Male,45,21803555,Eldoret,Turbo,Turbo,Turbo,Turbo Primary School,2027,Shopkeeper,Active
Ochieng Ngugi,Male,75,44759556,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2017,Police Officer,Active
Muthoni Moraa,Female,19,41175415,Meru,Imenti North,Imenti North,Nyaki East,Nyaki East Primary School,2022,Self-employed,Active
Kipkoech Kariuki,Male,63,13370098,Meru,Imenti North,Imenti North,Municipality,Municipality Primary School,2013,Driver,Active
Maina Ruto,Male,66,47406869,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2022,Nurse,Active
Njeri Koech,Female,37,26723413,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2017,Tailor,Active
Kamau Mutua,Male,73,18144237,Nairobi,Westlands,Westlands,Parklands,Parklands Primary School,2027,Trader,Active
Rotich Moraa,Female,72,40632634,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2022,Accountant,Active
Kiptoo Moraa,Male,48,18948235,Nairobi,Dagoretti North,Dagoretti North,Gitaru,Gitaru Primary School,2022,Driver,Active
Fatuma Odhiambo,Female,79,41181679,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2027,Teacher,Active
Rotich Njoroge,Female,27,45643657,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2022,Self-employed,Active
Zawadi Thuo,Female,83,47508841,Nairobi,Embakasi East,Embakasi East,Lower Savanna,Lower Savanna Primary School,2027,Casual Worker,Active
Zuhura Njenga,Female,56,49960128,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2022,Casual Worker,Active
Kemunto Kariuki,Female,80,31293505,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2013,Self-employed,Active
Waceera Waweru,Female,19,39700599,Kiambu,Ruiru,Ruiru,Gatongora,Gatongora Primary School,2022,Casual Worker,Active
Gitahi Kinyanjui,Male,80,43875089,Kisumu,Kisumu East,Kisumu East,Kolwa East,Kolwa East Primary School,2017,Self-employed,Active
Adhiambo Ngugi,Female,67,38638087,Kisumu,Kisumu East,Kisumu East,Nyalenda A,Nyalenda A Primary School,2017,Accountant,Active
Odhiambo Muriithi,Male,32,46767064,Nairobi,Dagoretti North,Dagoretti North,Ruthimitu,Ruthimitu Primary School,2013,Accountant,Active
Jelimo Hassan,Female,51,39924755,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2013,Tailor,Active
Jepchirchir Gacheru,Female,63,20680906,Meru,Imenti North,Imenti North,Municipality,Municipality Primary School,2027,Student,Active
Amina Barasa,Female,68,41854862,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2022,Police Officer,Active
Ahmed Ochieng,Male,26,40203670,Meru,Imenti North,Imenti North,Municipality,Municipality Primary School,2013,Teacher,Active
Zuhura Hassan,Female,22,27394050,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2013,Teacher,Active
Waweru Omondi,Male,41,26591977,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2027,Clerk,Active
Rotich Mutua,Female,59,28610049,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2017,Mechanic,Active
Rashid Gacheru,Male,51,44983838,Meru,Imenti North,Imenti North,Ntima West,Ntima West Primary School,2017,Teacher,Active
Hamisi Ochieng,Male,73,42520755,Eldoret,Turbo,Turbo,Eldoret East,Eldoret East Primary School,2017,Police Officer,Active
Waceera Kimani,Female,50,26055518,Nairobi,Westlands,Westlands,Kangemi,Kangemi Primary School,2022,Farmer,Active
Kamau Odhiambo,Male,60,28427922,Machakos,Mavoko,Mavoko,Mlolongo,Mlolongo Primary School,2027,Casual Worker,Active
Jelimo Moraa,Female,46,39519350,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2013,Clerk,Active
Wambui Muriithi,Female,25,15199819,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2022,Police Officer,Active
Adhiambo Adhiambo,Female,23,29174891,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2027,Police Officer,Active
Nyambura Muriithi,Female,42,25736597,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2013,Nurse,Active
Kinyanjui Gacheru,Male,75,28234492,Mombasa,Likoni,Likoni,Likoni,Likoni Primary School,2027,Farmer,Active
Ahmed Odhiambo,Male,84,32538346,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2022,Police Officer,Active
Ngugi Mutua,Male,80,31455345,Nairobi,Dagoretti North,Dagoretti North,Uthiru,Uthiru Primary School,2022,Accountant,Active
Njenga Waweru,Male,57,46249002,Nairobi,Westlands,Westlands,Kangemi,Kangemi Primary School,2027,Teacher,Active
Njoroge Kimani,Male,46,15407475,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2013,Nurse,Active
Halima Omondi,Female,23,19286126,Kisumu,Kisumu East,Kisumu East,Kolwa East,Kolwa East Primary School,2022,Engineer,Active
Wairimu Kiptoo,Female,39,20122074,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2022,Shopkeeper,Active
Kariuki Gacheru,Male,28,25519695,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2013,Trader,Active
Mwanaidi Atieno,Female,52,35705063,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Market Milimani Primary School,2022,Student,Active
Otieno Ochieng,Male,62,20254587,Eldoret,Turbo,Turbo,Lemook,Lemook Primary School,2022,Self-employed,Active
Kariuki Kinyanjui,Male,53,24358134,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2013,Teacher,Active
Chepkoech Ochieng,Female,64,14310325,Kisumu,Kisumu Central,Kisumu Central,Shaurimoyo,Shaurimoyo Primary School,2017,Student,Active
Fatuma Kimani,Female,38,37841313,Nairobi,Dagoretti North,Dagoretti North,Uthiru,Uthiru Primary School,2022,Accountant,Active
Njenga Bosibori,Male,59,37353530,Meru,Igembe South,Igembe South,Nyambene Hills,Nyambene Hills Primary School,2017,Teacher,Active
Njenga Kiptoo,Male,27,32205074,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2022,Accountant,Active
Wairimu Cheruiyot,Female,65,46414017,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2013,Clerk,Active
Nyaguthii Koech,Female,25,41267650,Meru,Imenti North,Imenti North,Municipality,Municipality Primary School,2017,Teacher,Active
Mwanaidi Auma,Female,38,37902136,Meru,Imenti North,Imenti North,Ntima West,Ntima West Primary School,2022,Police Officer,Inactive
Ngugi Njoroge,Male,78,14178581,Machakos,Mavoko,Mavoko,Mlolongo,Mlolongo Primary School,2027,Driver,Active
Gathoni Omar,Female,46,23880420,Meru,Igembe South,Igembe South,Athiru Rujiine,Athiru Rujiine Primary School,2027,Casual Worker,Inactive
Mwenda Odhiambo,Male,22,38195354,Nairobi,Embakasi East,Embakasi East,Embakasi,Embakasi Primary School,2022,Student,Active
Gitahi Akinyi,Male,19,36137346,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2022,Student,Inactive
Omar Njenga,Male,79,49196905,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2022,Trader,Active
Thuo Adhiambo,Male,65,11310767,Kisumu,Kisumu East,Kisumu East,Kolwa East,Kolwa East Primary School,2022,Clerk,Active
Rashid Thuo,Male,52,48633925,Nairobi,Embakasi East,Embakasi East,Lower Savanna,Lower Savanna Primary School,2022,Casual Worker,Active
Omondi Thuo,Male,24,35526938,Nairobi,Dagoretti North,Dagoretti North,Ruthimitu,Ruthimitu Primary School,2013,Engineer,Active
Salim Kinyanjui,Male,44,42009568,Kisumu,Kisumu Central,Kisumu Central,Kondele,Kondele Primary School,2013,Engineer,Active
Muriithi Cheruiyot,Male,52,10395679,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2022,Student,Active
Salim Muriithi,Male,85,33606133,Eldoret,Kapseret,Kapseret,Langas,Langas Primary School,2027,Accountant,Active
Jepchirchir Kinyanjui,Female,29,30039555,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2013,Shopkeeper,Active
Kariuki Auma,Male,81,36171560,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2017,Nurse,Active
Kipkoech Kiptoo,Male,71,38120042,Kisumu,Kisumu East,Kisumu East,Manyatta B,Manyatta B Primary School,2022,Police Officer,Active
Njoroge Mwangi,Male,61,46119370,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2022,Mechanic,Active
Rotich Mwenda,Female,51,46650318,Kisumu,Kisumu East,Kisumu East,Kolwa East,Kolwa East Primary School,2017,Engineer,Under Review
Ochieng Muriithi,Male,38,24800101,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2022,Driver,Active
Ochieng Auma,Male,58,42764525,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2022,Accountant,Active
Odhiambo Odhiambo,Male,65,24725136,Meru,Igembe South,Igembe South,Nyambene Hills,Nyambene Hills Primary School,2022,Trader,Active
Kipchoge Ruto,Male,58,28316378,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2017,Clerk,Active
Wangari Atieno,Female,74,39248457,Kiambu,Thika Town,Thika Town,Ngoliba,Ngoliba Primary School,2017,Teacher,Active
Mutua Omondi,Male,46,42590882,Kiambu,Thika Town,Thika Town,Gatuanyaga,Gatuanyaga Primary School,2022,Teacher,Active
Ngugi Barasa,Male,75,11947822,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2022,Teacher,Under Review
Bosibori Akinyi,Female,68,36095765,Meru,Imenti North,Imenti North,Ntima West,Ntima West Primary School,2013,Tailor,Active
Khadija Otieno,Female,57,32557271,Kiambu,Ruiru,Ruiru,Gatongora,Gatongora Primary School,2027,Tailor,Active
Gitahi Kiptoo,Male,72,37133232,Eldoret,Kapseret,Kapseret,Megun,Megun Primary School,2022,Student,Active
Ochieng Cheruiyot,Male,60,21075964,Kiambu,Ruiru,Ruiru,Kahawa Wendani,Kahawa Wendani Primary School,2013,Casual Worker,Active
Kamau Kiptoo,Male,77,41366021,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2022,Mechanic,Active
Kiptoo Gacheru,Male,56,18564956,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2027,Driver,Active
Mumbi Mwangi,Female,56,45844430,Nairobi,Westlands,Westlands,Westlands,Westlands Primary School,2027,Tailor,Active
Kipkoech Kiptoo,Male,21,11809687,Kisumu,Kisumu East,Kisumu East,Kolwa East,Kolwa East Primary School,2013,Driver,Active
Salim Atieno,Male,33,36442251,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2017,Clerk,Active
Kemunto Kariuki,Female,35,49721251,Kisumu,Kisumu East,Kisumu East,Nyalenda A,Nyalenda A Primary School,2017,Farmer,Active
Zuhura Kariuki,Female,27,47875704,Kiambu,Ruiru,Ruiru,Kahawa Wendani,Kahawa Wendani Primary School,2022,Mechanic,Active
Kimani Gitahi,Male,64,11818787,Meru,Igembe South,Igembe South,Athiru Gaiti,Athiru Gaiti Primary School,2013,Casual Worker,Active
Kamau Waweru,Male,70,15633618,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2017,Shopkeeper,Active
Ochieng Jelimo,Male,85,38763716,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2027,Clerk,Active
Mwenda Adhiambo,Male,20,19106638,Mombasa,Mvita,Mvita,Tudor,Tudor Primary School,2022,Driver,Active
